job_id,nhom_khuyet_tat,nghe,nganh,mo_ta_cong_viec,ky_nang,ho_tro,hinh_thuc_lam_viec,muc_luong,khu_vuc,muc_do_khuyet_tat,nguon_tham_khao
JOB_011,Khuyết tật vận động,Thiết kế đồ họa,Thiết kế - Sáng tạo,"Thiết kế hình ảnh, ấn phẩm truyền thông, giao diện","Phần mềm thiết kế (Photoshop, Illustrator...)","Máy tính cấu hình đồ họa, làm việc từ xa",Tại nhà / Từ xa,7 - 15,Toàn quốc (làm từ xa),Nhẹ - Vừa,joboko.com
JOB_012,Khuyết tật vận động,Thợ làm trang sức / Thủ công tinh xảo,Thủ công mỹ nghệ,"Chế tác, gia công trang sức, đồ thủ công nhỏ","Sự tỉ mỉ, khéo tay","Bàn làm việc cố định, dụng cụ hỗ trợ",Xưởng / Tại nhà,5 - 9,"Các làng nghề (Hà Nội, Bắc Ninh, TP.HCM)",Nhẹ,vov2.vov.vn
JOB_013,Khuyết tật vận động,Chuyên viên nhân sự (HR) từ xa,Nhân sự,"Tuyển dụng, quản lý hồ sơ, tổ chức đào tạo nội bộ","Giao tiếp, tổ chức công việc, tin học văn phòng","Làm việc từ xa, họp online thay vì gặp trực tiếp",Tại nhà / Văn phòng / Từ xa,8 - 15,"Hà Nội, TP.HCM, Đà Nẵng",Nhẹ - Vừa,topcv.vn
JOB_014,Khuyết tật vận động,Biên - phiên dịch viên,Ngôn ngữ - Dịch thuật,"Dịch tài liệu, phụ đề, hỗ trợ dịch văn bản chuyên ngành","Ngoại ngữ tốt, biên tập",Làm việc từ xa qua email/nền tảng dịch thuật online,Tại nhà / Từ xa,8 - 18,Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,joboko.com
JOB_015,Khuyết tật vận động,Giáo viên dạy học trực tuyến,Giáo dục,"Dạy kèm, giảng dạy các môn học qua nền tảng trực tuyến","Chuyên môn giảng dạy, giao tiếp","Camera, micro, phần mềm dạy học online",Tại nhà / Từ xa,6 - 15,Toàn quốc (làm từ xa),Nhẹ - Vừa,vn.joboko.com
JOB_016,Khuyết tật vận động,Chuyên viên SEO / Marketing số,Truyền thông - Marketing,"Tối ưu website, chạy quảng cáo số, phân tích số liệu marketing","Kiến thức SEO/Ads, phân tích dữ liệu","Máy tính, làm việc từ xa",Tại nhà / Văn phòng / Từ xa,8 - 16,"Hà Nội, TP.HCM, Đà Nẵng",Nhẹ - Vừa,topcv.vn
JOB_017,Khuyết tật thị giác (khiếm thị),Nhân viên tư vấn qua điện thoại / Telesales,Dịch vụ khách hàng - Bán hàng,"Tư vấn, chăm sóc khách hàng, bán hàng qua điện thoại","Giọng nói rõ ràng, khả năng lắng nghe tốt","Phần mềm đọc màn hình (screen reader), điện thoại",Tại nhà / Văn phòng,6 - 10 (có thể + hoa hồng),"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,jobsgo.vn
JOB_018,Khuyết tật thị giác (khiếm thị),Tư vấn viên tâm lý qua điện thoại,Y tế - Tâm lý,"Lắng nghe, tư vấn tâm lý qua điện thoại/tổng đài","Kỹ năng lắng nghe, đồng cảm, giao tiếp","Đường dây nóng, phần mềm hỗ trợ giọng nói",Tại nhà / Văn phòng,6 - 12,"Hà Nội, TP.HCM",Nhẹ - Vừa,jobsgo.vn
JOB_019,Khuyết tật thị giác (khiếm thị),Nhân viên massage / Vật lý trị liệu,Chăm sóc sức khỏe,"Massage trị liệu, thư giãn cho khách hàng","Kỹ thuật massage, xoa bóp bấm huyệt",Đào tạo nghề chuyên biệt cho người khiếm thị,Spa / Cơ sở massage,6 - 12 (tùy khách + tip),"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa - Nặng,career.gpo.vn
JOB_020,Khuyết tật thị giác (khiếm thị),Giáo viên âm nhạc / Nhạc công,Giáo dục - Nghệ thuật,"Dạy nhạc cụ, biểu diễn âm nhạc","Năng khiếu âm nhạc, thính giác nhạy bén","Nhạc cụ, phòng học phù hợp",Trung tâm âm nhạc / Tại nhà,6 - 15,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vn.joboko.com
JOB_021,Khuyết tật thị giác (khiếm thị),Người dẫn chương trình phát thanh / MC audio,Truyền thông,"Dẫn chương trình radio, podcast, thu âm","Giọng nói tốt, biên tập nội dung","Phòng thu, phần mềm chỉnh âm có hỗ trợ giọng nói",Đài phát thanh / Từ xa,7 - 15,"Hà Nội, TP.HCM",Nhẹ - Vừa,vn.joboko.com
JOB_022,Khuyết tật thị giác (khiếm thị),"Nhân viên làm tăm, làm hương thủ công",Thủ công - Sản xuất nhỏ,"Sản xuất tăm tre, hương thắp, bán dạo hoặc bán tại chỗ","Sự khéo léo, kiên trì",Máy móc hỗ trợ tại các cơ sở dạy nghề,Cơ sở sản xuất / Tại nhà,3.5 - 6,Các cơ sở dạy nghề cho người khiếm thị (nhiều tỉnh thành),Vừa - Nặng,career.gpo.vn
JOB_023,Khuyết tật thị giác (khiếm thị),Lập trình viên / Kỹ thuật viên CNTT (dùng screen reader),Công nghệ thông tin,"Lập trình, kiểm thử phần mềm với công cụ đọc màn hình","Tin học, ngoại ngữ, tư duy logic","Phần mềm đọc màn hình JAWS/NVDA, bàn phím Braille",Từ xa / Văn phòng,8 - 20,Toàn quốc (làm từ xa),Nhẹ - Vừa,vov2.vov.vn
JOB_024,Khuyết tật thị giác (khiếm thị),Nhân viên tổng đài chăm sóc khách hàng,Dịch vụ khách hàng,Nghe và xử lý cuộc gọi hỗ trợ khách hàng,"Giao tiếp, xử lý tình huống","Tai nghe, phần mềm tổng đài có giọng đọc",Văn phòng / Tại nhà,6 - 9,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,jobsgo.vn
JOB_025,Khuyết tật thị giác (khiếm thị),Luật sư / Chuyên viên tư vấn pháp lý,Pháp lý,"Nghiên cứu luật, tư vấn pháp lý qua văn bản/điện thoại","Kiến thức pháp luật, phần mềm đọc màn hình","Tài liệu điện tử, phần mềm đọc màn hình chuyên dụng",Văn phòng / Từ xa,10 - 20,"Hà Nội, TP.HCM",Nhẹ,joboko.com
JOB_026,Khuyết tật thị giác (khiếm thị),Giáo viên dạy chữ nổi Braille,Giáo dục đặc biệt,"Dạy chữ Braille, kỹ năng sống cho người khiếm thị khác","Thành thạo Braille, sư phạm","Trung tâm giáo dục đặc biệt, tài liệu chữ nổi",Trung tâm giáo dục đặc biệt,6 - 10,Các trung tâm giáo dục đặc biệt (nhiều tỉnh thành),Nhẹ - Vừa,vov2.vov.vn
JOB_027,Khuyết tật thính giác (khiếm thính),Lập trình viên phần mềm,Công nghệ thông tin,"Phát triển ứng dụng di động, website, phần mềm doanh nghiệp","Tư duy logic, giải quyết vấn đề",Giao tiếp qua văn bản/email/chat nội bộ,Văn phòng / Từ xa,8 - 22,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vieclamnguoikhuyettat.com
JOB_028,Khuyết tật thính giác (khiếm thính),Thợ cơ khí / Công nhân xây dựng,Xây dựng - Cơ khí,"Vận hành máy móc, gia công cơ khí, thi công xây dựng","Kỹ năng tay nghề, tập trung trong môi trường ồn","Hướng dẫn công việc bằng hình ảnh, ký hiệu",Công trường / Nhà máy,6 - 10,"Các khu công nghiệp (Bình Dương, Đồng Nai, Bắc Ninh, Hà Nội)",Nhẹ - Vừa,vn.joboko.com
JOB_029,Khuyết tật thính giác (khiếm thính),Công nhân sản xuất (dây chuyền nhà máy),Sản xuất,Thực hiện công đoạn lặp lại trong dây chuyền sản xuất,"Tỉ mỉ, tuân thủ quy trình","Đào tạo bằng hình vẽ, nhóm hỗ trợ nhau",Nhà máy / Xưởng,5 - 8,"Các khu công nghiệp (Bình Dương, Đồng Nai, Bắc Ninh, Hà Nội)",Nhẹ - Vừa,vn.joboko.com
JOB_030,Khuyết tật thính giác (khiếm thính),"Thợ thủ công (đồ handmade, quà tặng)",Thủ công mỹ nghệ,Làm đồ thủ công sáng tạo để bán trong nước và quốc tế,"Khéo tay, sáng tạo","Bán hàng qua nền tảng online, ít cần giao tiếp trực tiếp",Xưởng / Tại nhà,5 - 10,Toàn quốc (làm từ xa),Nhẹ - Vừa,vieclamnguoikhuyettat.com
JOB_031,Khuyết tật thính giác (khiếm thính),Nhân viên nhập liệu / Xử lý dữ liệu,Văn phòng,Nhập và kiểm tra dữ liệu trên hệ thống máy tính,"Cẩn thận, tin học văn phòng","Giao tiếp qua văn bản, không cần điện thoại",Văn phòng / Từ xa,5 - 8,Toàn quốc (làm từ xa),Nhẹ - Vừa,vieclamnguoikhuyettat.com
JOB_032,Khuyết tật thính giác (khiếm thính),Hướng dẫn viên du lịch cho người khiếm thính,Du lịch,"Dẫn tour, giới thiệu điểm đến cho khách khiếm thính/khách thường","Ngôn ngữ ký hiệu, kiến thức du lịch",Đào tạo ngôn ngữ ký hiệu chuyên biệt,Công ty du lịch,6 - 12 (+ tip/phụ cấp tour),"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ,tuoitre.vn
JOB_033,Khuyết tật thính giác (khiếm thính),Nhân viên pha chế / Phục vụ quán cà phê,Dịch vụ ăn uống,"Pha chế đồ uống, phục vụ khách tại quán cà phê, tiệm bánh","Kỹ năng pha chế, làm việc nhóm","Hướng dẫn bằng hình ảnh, đồng nghiệp hỗ trợ giao tiếp",Quán cà phê / Nhà hàng,5 - 7,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ,vov.gov.vn
JOB_034,Khuyết tật thính giác (khiếm thính),Thợ thủ công tại xưởng sản xuất thú nhồi bông/handmade,Thủ công - Sản xuất,"May, thiết kế, hoàn thiện sản phẩm thủ công tại xưởng mở","Khéo tay, tỉ mỉ","Không gian xưởng mở, giao tiếp bằng ký hiệu/văn bản",Xưởng sản xuất,5 - 8,Nhiều tỉnh thành có xưởng thủ công,Nhẹ - Vừa,vov.gov.vn
JOB_035,Khuyết tật thính giác (khiếm thính),Thiết kế đồ họa / Dựng phim video,Thiết kế - Truyền thông,"Thiết kế ấn phẩm, dựng video ngắn cho mạng xã hội/doanh nghiệp","Phần mềm dựng hình, thẩm mỹ",Giao tiếp bằng văn bản/chat với khách hàng,Tại nhà / Từ xa,7 - 14,Toàn quốc (làm từ xa),Nhẹ - Vừa,vieclamnguoikhuyettat.com
JOB_036,Khuyết tật thính giác (khiếm thính),Nhân viên kho vận / Đóng gói hàng hóa,Logistics,"Sắp xếp, đóng gói, kiểm đếm hàng hóa trong kho","Cẩn thận, làm việc theo quy trình",Hướng dẫn công việc bằng bảng hình ảnh/ký hiệu,Kho hàng / Trung tâm logistics,5.5 - 8,"Các khu công nghiệp (Bình Dương, Đồng Nai, Bắc Ninh, Hà Nội); các trung tâm TMĐT lớn",Nhẹ - Vừa,vov.gov.vn
JOB_037,Khuyết tật thính giác (khiếm thính),Kỹ thuật viên sửa chữa điện tử,Kỹ thuật - Điện tử,"Sửa chữa, bảo trì thiết bị điện tử, điện lạnh","Kỹ thuật điện tử, tỉ mỉ",Tài liệu hướng dẫn kỹ thuật bằng hình ảnh,Cửa hàng sửa chữa / Xưởng,6 - 12,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vn.joboko.com
JOB_038,Khuyết tật ngôn ngữ,Nhân viên thiết kế đồ họa,Thiết kế - Sáng tạo,"Thiết kế ấn phẩm, hình ảnh truyền thông","Phần mềm thiết kế, óc thẩm mỹ","Giao tiếp qua văn bản/email với khách hàng, đồng nghiệp",Tại nhà / Văn phòng,7 - 14,Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,joboko.com
JOB_039,Khuyết tật ngôn ngữ,Nhân viên nhập liệu / Biên tập nội dung,Văn phòng - Truyền thông,"Nhập liệu, biên tập, kiểm tra nội dung văn bản","Cẩn thận, viết tốt",Trao đổi công việc bằng văn bản/chat,Tại nhà / Văn phòng,5 - 9,Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,joboko.com
JOB_040,Khuyết tật ngôn ngữ,Thợ thủ công / Gia công sản phẩm,Thủ công - Sản xuất,"Gia công, lắp ráp sản phẩm thủ công đơn giản","Khéo tay, kiên trì","Hướng dẫn bằng hình ảnh, ít cần giao tiếp lời nói",Xưởng / Tại nhà,4.5 - 7,"Các cơ sở dạy nghề, xưởng thủ công địa phương",Vừa - Nặng,career.gpo.vn
JOB_041,Khuyết tật ngôn ngữ,Lập trình viên / Kiểm thử phần mềm,Công nghệ thông tin,"Viết code, kiểm thử ứng dụng, phần mềm","Kiến thức lập trình, tư duy logic",Giao tiếp nhóm qua công cụ chat/văn bản,Văn phòng / Từ xa,8 - 20,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vieclamnguoikhuyettat.com
JOB_042,Khuyết tật ngôn ngữ,Kế toán viên,Tài chính - Kế toán,"Ghi chép, đối soát sổ sách kế toán qua phần mềm","Nghiệp vụ kế toán, cẩn thận",Trao đổi công việc qua email/phần mềm nội bộ,Văn phòng / Từ xa,5.6 - 9,"Hà Nội, TP.HCM",Nhẹ - Vừa,topcv.vn
JOB_043,Khuyết tật ngôn ngữ,Nhân viên thiết kế UI/UX,Thiết kế sản phẩm số,"Thiết kế giao diện, trải nghiệm người dùng cho web/app","Công cụ thiết kế UI/UX, tư duy người dùng",Trao đổi yêu cầu bằng văn bản/công cụ thiết kế cộng tác,Tại nhà / Từ xa,9 - 18,Toàn quốc (làm từ xa),Nhẹ - Vừa,topcv.vn
JOB_044,Khuyết tật trí tuệ / nhận thức,Công nhân sản xuất (công đoạn lặp lại),Sản xuất,"Thực hiện một công đoạn cố định, lặp đi lặp lại trong dây chuyền","Tuân thủ quy trình, kiên trì","Đào tạo kỹ, hướng dẫn từng bước, giám sát hỗ trợ",Nhà máy / Xưởng sản xuất,4.5 - 7,"Các khu công nghiệp (Bình Dương, Đồng Nai, Bắc Ninh, Hà Nội)",Nhẹ - Vừa,vn.joboko.com
JOB_045,Khuyết tật trí tuệ / nhận thức,Nhân viên pha chế / phụ bếp,Dịch vụ ăn uống,"Chuẩn bị nguyên liệu, pha chế đồ uống đơn giản","Làm theo hướng dẫn, chăm chỉ","Công việc được chia nhỏ, có người hướng dẫn kèm cặp",Quán cà phê / Nhà hàng,4.5 - 6.5,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vov.gov.vn
JOB_046,Khuyết tật trí tuệ / nhận thức,"Thợ thủ công (đồ chơi, quà lưu niệm)",Thủ công mỹ nghệ,"Lắp ráp, hoàn thiện sản phẩm thủ công đơn giản","Khéo tay, kiên nhẫn","Không gian làm việc thân thiện, được khuyến khích tiến bộ",Xưởng sản xuất mở,4 - 6,"Các trung tâm dạy nghề, xưởng cộng đồng",Vừa - Nặng,vov.gov.vn
JOB_047,Khuyết tật trí tuệ / nhận thức,Nhân viên vệ sinh / hậu cần đơn giản,Dịch vụ - Hậu cần,"Dọn dẹp, sắp xếp, hỗ trợ hậu cần cơ bản","Chăm chỉ, có trách nhiệm","Hướng dẫn rõ ràng theo từng bước, giám sát nhẹ",Văn phòng / Cửa hàng / Nhà máy,4.5 - 6.5,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vov.gov.vn
JOB_048,Khuyết tật trí tuệ / nhận thức,"Nhân viên siêu thị (xếp hàng, dán nhãn)",Bán lẻ,"Xếp hàng lên kệ, dán nhãn giá, kiểm tra hạn sử dụng","Cẩn thận, làm theo quy trình lặp lại","Bảng hướng dẫn công việc bằng hình ảnh, quản lý kèm cặp",Siêu thị / Cửa hàng tiện lợi,4.5 - 6,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vov.gov.vn
JOB_049,Khuyết tật trí tuệ / nhận thức,Nhân viên chăm sóc cây xanh / vườn ươm,Nông nghiệp đô thị,"Tưới cây, chăm sóc vườn ươm, đóng chậu cây con","Yêu thích công việc ngoài trời, kiên nhẫn","Công việc chia nhỏ theo bước, môi trường ít áp lực thời gian",Vườn ươm / Công viên,4.5 - 6.5,Nhiều tỉnh thành có mô hình dạy nghề nông nghiệp,Nhẹ - Vừa,vov.gov.vn
JOB_050,Khuyết tật trí tuệ / nhận thức,Trợ lý thư viện (sắp xếp sách),Giáo dục - Thư viện,"Sắp xếp sách theo mã, hỗ trợ độc giả tìm sách cơ bản","Cẩn thận, ghi nhớ vị trí theo hệ thống","Hệ thống mã màu/ký hiệu dễ nhận biết, hướng dẫn cụ thể",Thư viện / Trung tâm học tập,4.5 - 6.5,"Các thành phố lớn (Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ)",Nhẹ - Vừa,vov.gov.vn
JOB_051,Áp dụng chung / Nhiều dạng khuyết tật,Nhân viên telesales / bán hàng online,Bán hàng - Thương mại điện tử,"Tư vấn, bán hàng qua điện thoại hoặc nền tảng online","Giao tiếp, tin học cơ bản","Làm việc từ xa, linh hoạt thời gian",Tại nhà / Từ xa,6 - 12 (+ hoa hồng),Toàn quốc (làm từ xa),Nhẹ - Vừa,joboko.com
JOB_052,Áp dụng chung / Nhiều dạng khuyết tật,"Cộng tác viên viết nội dung (content, copywriter)",Truyền thông - Marketing,"Viết bài, biên tập nội dung theo yêu cầu doanh nghiệp","Kỹ năng viết, sáng tạo","Nhận và gửi bài qua email, làm việc tại nhà",Tại nhà / Từ xa,5 - 12 (theo bài/dự án),Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,vn.joboko.com
JOB_053,Áp dụng chung / Nhiều dạng khuyết tật,Nhân viên nhập liệu từ xa,Văn phòng - Từ xa,"Nhập, xử lý, kiểm tra dữ liệu theo yêu cầu","Tin học văn phòng, cẩn thận","Máy tính cá nhân, thời gian linh động",Tại nhà / Từ xa,4.5 - 8,Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,vn.joboko.com
JOB_054,Áp dụng chung / Nhiều dạng khuyết tật,Thợ thủ công / Kinh doanh sản phẩm tự làm,Thủ công - Kinh doanh nhỏ,Sản xuất và bán sản phẩm thủ công qua mạng hoặc tại chỗ,"Khéo tay, kỹ năng bán hàng cơ bản","Nền tảng bán hàng online, hỗ trợ vận chuyển",Tại nhà / Online,"Thu nhập không cố định, tùy doanh số",Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,vieclamnguoikhuyettat.com
JOB_055,Áp dụng chung / Nhiều dạng khuyết tật,Freelancer thiết kế/thủ công bán trên sàn TMĐT,Thương mại điện tử,Bán sản phẩm thiết kế số hoặc đồ thủ công trên Shopee/Etsy...,Kỹ năng sản phẩm + marketing cơ bản,"Không cần địa điểm cố định, làm theo tốc độ riêng",Tại nhà / Online,"Thu nhập không cố định, tùy doanh số",Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,vieclamnguoikhuyettat.com
JOB_056,Áp dụng chung / Nhiều dạng khuyết tật,Trợ lý ảo / Nhập liệu cho doanh nghiệp nước ngoài,Dịch vụ từ xa quốc tế,"Hỗ trợ hành chính, nhập liệu, quản lý lịch cho khách hàng nước ngoài","Ngoại ngữ cơ bản-khá, tin học văn phòng",Làm việc hoàn toàn từ xa qua nền tảng freelance quốc tế,Tại nhà / Từ xa (quốc tế),"8 - 20 (tùy khách hàng, có thể trả USD)",Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,joboko.com
JOB_057,Áp dụng chung / Nhiều dạng khuyết tật,Người sáng tạo nội dung số (Youtube/TikTok),Truyền thông sáng tạo,"Chia sẻ câu chuyện cá nhân, review sản phẩm, dạy kỹ năng qua video ngắn","Sáng tạo, kiên trì xây kênh","Thiết bị quay dựng cơ bản, không yêu cầu ngoại hình/di chuyển",Tại nhà / Online,Thu nhập không cố định (quảng cáo + nhãn hàng),Toàn quốc (làm từ xa),Nhẹ - Vừa - Nặng,vieclamnguoikhuyettat.com
